source,group,env_version,map_name,difficulty,episode,algorithm,seed,solved,failure_reason,height,width,num_boxes,total_reward,steps,runtime_ms,nodes_expanded,deadlocks_pruned,dead_squares
custom,canvas,custom_env,canvas_03,Medium-2box,0,bfs,,True,,7,9,2,10.5,15,199.1332,351,351,10
custom,canvas,custom_env,canvas_03,Medium-2box,0,greedy,,True,,7,9,2,9.9,21,181.7732,6,10,10
custom,canvas,custom_env,canvas_03,Medium-2box,0,astar,,True,,7,9,2,9.9,21,175.4069,20,38,10
custom,canvas,custom_env,canvas_03,Medium-2box,0,bfs,,True,,7,9,2,10.5,15,8757.3419,351,351,10
custom,canvas,custom_env,canvas_03,Medium-2box,0,greedy,,True,,7,9,2,9.9,21,12129.2753,6,10,10
custom,canvas,custom_env,canvas_03,Medium-2box,0,astar,,True,,7,9,2,9.9,21,12206.2948,20,38,10
custom,canvas,custom_env,canvas_03,Medium-2box,0,bfs,,True,,7,9,2,10.5,15,724.6578,351,351,10
custom,canvas,custom_env,canvas_03,Medium-2box,0,greedy,,True,,7,9,2,9.9,21,831.646,6,10,10
custom,canvas,custom_env,canvas_03,Medium-2box,0,astar,,True,,7,9,2,10.5,15,703.4862,20,39,10
custom,canvas,custom_env,canvas_03,Medium-2box,0,bfs,,True,,7,9,2,10.5,15,558.1615,351,351,10
custom,canvas,custom_env,canvas_03,Medium-2box,0,greedy,,True,,7,9,2,9.9,21,633.0972,6,10,10
custom,canvas,custom_env,canvas_03,Medium-2box,0,astar,,True,,7,9,2,10.5,15,461.6737,20,39,10
custom,canvas,custom_env,canvas_03,Medium-2box,0,bfs,,True,,7,9,2,10.5,15,186.5211,351,351,10
custom,canvas,custom_env,canvas_03,Medium-2box,0,greedy,,True,,7,9,2,9.9,21,222.1909,6,10,10
custom,canvas,custom_env,canvas_03,Medium-2box,0,astar,,True,,7,9,2,10.5,15,147.32,20,39,10
