source,group,env_version,map_name,difficulty,episode,algorithm,seed,solved,failure_reason,height,width,num_boxes,total_reward,steps,runtime_ms,nodes_expanded,deadlocks_pruned,dead_squares
custom,custom_additional,custom_env,easy_1box,Easy,0,bfs,,True,,3,12,1,10.2,8,124.1786,6,0,1
custom,custom_additional,custom_env,easy_1box,Easy,0,bfs,,True,,3,12,1,10.2,8,99.7462,6,0,1
custom,custom_additional,custom_env,easy_1box,Easy,0,greedy,,True,,3,12,1,10.2,8,90.019,6,0,1
custom,custom_additional,custom_env,easy_1box,Easy,0,bfs,,True,,3,12,1,10.2,8,95.3701,6,0,1
custom,custom_additional,custom_env,easy_1box,Easy,0,greedy,,True,,3,12,1,10.2,8,89.8721,6,0,1
custom,custom_additional,custom_env,easy_1box,Easy,0,astar,,True,,3,12,1,10.2,8,94.5036,6,0,1
custom,custom_additional,custom_env,easy_1box,Easy,0,greedy,,True,,3,12,1,10.2,8,103.9913,6,0,1
custom,custom_additional,custom_env,easy_1box,Easy,0,greedy,,True,,3,12,1,10.2,8,90.6501,6,0,1
custom,custom_additional,custom_env,easy_1box,Easy,0,astar,,True,,3,12,1,10.2,8,80.0123,6,0,1
custom,custom_additional,custom_env,easy_1box,Easy,0,greedy,,True,,3,12,1,10.2,8,314.8041,6,0,1
custom,custom_additional,custom_env,easy_1box,Easy,0,greedy,,True,,3,12,1,10.2,8,270.4873,6,0,1
custom,custom_additional,custom_env,easy_1box,Easy,0,bfs,,True,,3,12,1,10.2,8,70.0495,6,0,1
custom,custom_additional,custom_env,easy_1box,Easy,0,greedy,,True,,3,12,1,10.2,8,80.1842,6,0,1
custom,custom_additional,custom_env,easy_1box,Easy,0,astar,,True,,3,12,1,10.2,8,104.6691,6,0,1
custom,custom_additional,custom_env,easy_1box,Easy,0,greedy,,True,,3,12,1,10.2,8,129.735,6,0,1
custom,custom_additional,custom_env,easy_1box,Easy,0,astar,,True,,3,12,1,10.2,8,69.1452,6,0,1
custom,custom_additional,custom_env,easy_1box,Easy,0,bfs,,True,,3,12,1,10.2,8,115.3488,6,0,1
custom,custom_additional,custom_env,easy_1box,Easy,0,bfs,,True,,3,12,1,10.2,8,174.475,6,0,1
custom,custom_additional,custom_env,easy_1box,Easy,0,bfs,,True,,3,12,1,10.2,8,4627.2595,6,0,1
custom,custom_additional,custom_env,easy_1box,Easy,0,greedy,,True,,3,12,1,10.2,8,4537.1745,6,0,1
custom,custom_additional,custom_env,easy_1box,Easy,0,astar,,True,,3,12,1,10.2,8,4652.194,6,0,1
custom,custom_additional,custom_env,easy_1box,Easy,0,bfs,,True,,3,12,1,10.2,8,565.1743,6,0,1
custom,custom_additional,custom_env,easy_1box,Easy,0,greedy,,True,,3,12,1,10.2,8,729.018,6,0,1
custom,custom_additional,custom_env,easy_1box,Easy,0,astar,,True,,3,12,1,10.2,8,613.9674,6,0,1
custom,custom_additional,custom_env,easy_1box,Easy,0,bfs,,True,,3,12,1,10.2,8,4464.066,6,0,1
custom,custom_additional,custom_env,easy_1box,Easy,0,greedy,,True,,3,12,1,10.2,8,4352.9806,6,0,1
custom,custom_additional,custom_env,easy_1box,Easy,0,astar,,True,,3,12,1,10.2,8,4337.7481,6,0,1
custom,custom_additional,custom_env,easy_1box,Easy,0,bfs,,True,,3,12,1,10.2,8,101.3038,6,0,1
custom,custom_additional,custom_env,easy_1box,Easy,0,greedy,,True,,3,12,1,10.2,8,98.9616,6,0,1
custom,custom_additional,custom_env,easy_1box,Easy,0,astar,,True,,3,12,1,10.2,8,82.7782,6,0,1
