source,group,env_version,map_name,difficulty,episode,algorithm,seed,solved,failure_reason,height,width,num_boxes,total_reward,steps,runtime_ms,nodes_expanded,deadlocks_pruned,dead_squares
custom,custom_additional,custom_env,hard_3box,Hard-3box,0,greedy,,True,,15,15,3,5.0,80,8597.5821,9682,2942,48
custom,custom_additional,custom_env,hard_3box,Hard-3box,0,greedy,,True,,15,15,3,5.0,80,11812.5608,9682,2942,48
custom,custom_additional,custom_env,hard_3box,Hard-3box,0,greedy,,True,,15,15,3,5.0,80,8532.4848,9682,2942,48
custom,custom_additional,custom_env,hard_3box,Hard-3box,0,astar,,True,,15,15,3,7.2,58,24261.4546,21713,13021,48
custom,custom_additional,custom_env,hard_3box,Hard-3box,0,greedy,,True,,15,15,3,5.0,80,10100.1678,9682,2942,48
custom,custom_additional,custom_env,hard_3box,Hard-3box,0,greedy,,True,,15,15,3,5.0,80,15849.0984,9682,2942,48
custom,custom_additional,custom_env,hard_3box,Hard-3box,0,greedy,,True,,15,15,3,5.0,80,8226.9058,9682,2942,48
custom,custom_additional,custom_env,hard_3box,Hard-3box,0,astar,,True,,15,15,3,7.2,58,18442.3778,21713,13021,48
custom,custom_additional,custom_env,hard_3box,Hard-3box,0,bfs,,False,node_limit,15,15,3,-12.0,120,223231.9639,200000,225996,48
custom,custom_additional,custom_env,hard_3box,Hard-3box,0,greedy,,True,,15,15,3,5.0,80,11488.0767,9682,2942,48
custom,custom_additional,custom_env,hard_3box,Hard-3box,0,astar,,True,,15,15,3,7.2,58,22110.3344,21713,13021,48
custom,custom_additional,custom_env,hard_3box,Hard-3box,0,bfs,,False,node_limit,15,15,3,-12.0,120,145219.3661,200000,225996,48
custom,custom_additional,custom_env,hard_3box,Hard-3box,0,greedy,,True,,15,15,3,5.0,80,47509.3367,9682,2942,48
custom,custom_additional,custom_env,hard_3box,Hard-3box,0,astar,,True,,15,15,3,7.2,58,39275.2659,21713,13021,48
