source,group,env_version,map_name,difficulty,episode,algorithm,seed,solved,failure_reason,height,width,num_boxes,total_reward,steps,runtime_ms,nodes_expanded,deadlocks_pruned,dead_squares
custom,custom_additional,custom_env,large_1box,Large-1box,0,bfs,,True,,15,15,1,9.0,20,335.5398,299,60,48
custom,custom_additional,custom_env,large_1box,Large-1box,0,bfs,,True,,15,15,1,9.0,20,232.4252,299,60,48
custom,custom_additional,custom_env,large_1box,Large-1box,0,greedy,,True,,15,15,1,9.0,20,354.2404,9,2,48
custom,custom_additional,custom_env,large_1box,Large-1box,0,bfs,,True,,15,15,1,9.0,20,250.0792,299,60,48
custom,custom_additional,custom_env,large_1box,Large-1box,0,greedy,,True,,15,15,1,9.0,20,268.5723,9,2,48
custom,custom_additional,custom_env,large_1box,Large-1box,0,astar,,True,,15,15,1,9.0,20,240.6001,33,2,48
custom,custom_additional,custom_env,large_1box,Large-1box,0,greedy,,True,,15,15,1,9.0,20,272.6774,9,2,48
custom,custom_additional,custom_env,large_1box,Large-1box,0,greedy,,True,,15,15,1,9.0,20,300.1528,9,2,48
custom,custom_additional,custom_env,large_1box,Large-1box,0,astar,,True,,15,15,1,9.0,20,287.0741,33,2,48
custom,custom_additional,custom_env,large_1box,Large-1box,0,greedy,,True,,15,15,1,9.0,20,861.85,9,2,48
custom,custom_additional,custom_env,large_1box,Large-1box,0,greedy,,True,,15,15,1,9.0,20,716.6245,9,2,48
custom,custom_additional,custom_env,large_1box,Large-1box,0,bfs,,True,,15,15,1,9.0,20,251.2341,299,60,48
custom,custom_additional,custom_env,large_1box,Large-1box,0,greedy,,True,,15,15,1,9.0,20,223.4557,9,2,48
custom,custom_additional,custom_env,large_1box,Large-1box,0,astar,,True,,15,15,1,9.0,20,221.0743,33,2,48
custom,custom_additional,custom_env,large_1box,Large-1box,0,greedy,,True,,15,15,1,9.0,20,239.0618,9,2,48
custom,custom_additional,custom_env,large_1box,Large-1box,0,astar,,True,,15,15,1,9.0,20,275.456,33,2,48
custom,custom_additional,custom_env,large_1box,Large-1box,0,bfs,,True,,15,15,1,9.0,20,390.9039,299,60,48
custom,custom_additional,custom_env,large_1box,Large-1box,0,bfs,,True,,15,15,1,9.0,20,376.0784,299,60,48
custom,custom_additional,custom_env,large_1box,Large-1box,0,bfs,,True,,15,15,1,9.0,20,11641.2389,299,60,48
custom,custom_additional,custom_env,large_1box,Large-1box,0,greedy,,True,,15,15,1,9.0,20,11615.216,9,2,48
custom,custom_additional,custom_env,large_1box,Large-1box,0,astar,,True,,15,15,1,9.0,20,11579.9637,33,2,48
custom,custom_additional,custom_env,large_1box,Large-1box,0,bfs,,True,,15,15,1,9.0,20,929.8885,299,60,48
custom,custom_additional,custom_env,large_1box,Large-1box,0,greedy,,True,,15,15,1,9.0,20,1228.1814,9,2,48
custom,custom_additional,custom_env,large_1box,Large-1box,0,astar,,True,,15,15,1,9.0,20,897.2697,33,2,48
custom,custom_additional,custom_env,large_1box,Large-1box,0,bfs,,True,,15,15,1,9.0,20,11007.1087,299,60,48
custom,custom_additional,custom_env,large_1box,Large-1box,0,greedy,,True,,15,15,1,9.0,20,11024.3235,9,2,48
custom,custom_additional,custom_env,large_1box,Large-1box,0,astar,,True,,15,15,1,9.0,20,11037.2133,33,2,48
custom,custom_additional,custom_env,large_1box,Large-1box,0,bfs,,True,,15,15,1,9.0,20,267.8113,299,60,48
custom,custom_additional,custom_env,large_1box,Large-1box,0,greedy,,True,,15,15,1,9.0,20,271.0361,9,2,48
custom,custom_additional,custom_env,large_1box,Large-1box,0,astar,,True,,15,15,1,9.0,20,265.4839,33,2,48
