source,group,env_version,map_name,difficulty,episode,algorithm,seed,solved,failure_reason,height,width,num_boxes,total_reward,steps,runtime_ms,nodes_expanded,deadlocks_pruned,dead_squares
custom,custom_additional,custom_env,medium_1box,Medium,0,bfs,,True,,9,9,1,9.7,13,149.3614,95,29,13
custom,custom_additional,custom_env,medium_1box,Medium,0,bfs,,True,,9,9,1,9.7,13,168.7064,95,29,13
custom,custom_additional,custom_env,medium_1box,Medium,0,greedy,,True,,9,9,1,9.7,13,168.5057,8,1,13
custom,custom_additional,custom_env,medium_1box,Medium,0,bfs,,True,,9,9,1,9.7,13,195.1694,95,29,13
custom,custom_additional,custom_env,medium_1box,Medium,0,greedy,,True,,9,9,1,9.7,13,231.7204,8,1,13
custom,custom_additional,custom_env,medium_1box,Medium,0,astar,,True,,9,9,1,9.7,13,186.4491,34,4,13
custom,custom_additional,custom_env,medium_1box,Medium,0,greedy,,True,,9,9,1,9.7,13,179.7273,8,1,13
custom,custom_additional,custom_env,medium_1box,Medium,0,greedy,,True,,9,9,1,9.7,13,205.3232,8,1,13
custom,custom_additional,custom_env,medium_1box,Medium,0,astar,,True,,9,9,1,9.7,13,221.3337,34,4,13
custom,custom_additional,custom_env,medium_1box,Medium,0,greedy,,True,,9,9,1,9.7,13,658.3886,8,1,13
custom,custom_additional,custom_env,medium_1box,Medium,0,greedy,,True,,9,9,1,9.7,13,432.6682,8,1,13
custom,custom_additional,custom_env,medium_1box,Medium,0,bfs,,True,,9,9,1,9.7,13,166.569,95,29,13
custom,custom_additional,custom_env,medium_1box,Medium,0,greedy,,True,,9,9,1,9.7,13,178.6182,8,1,13
custom,custom_additional,custom_env,medium_1box,Medium,0,astar,,True,,9,9,1,9.7,13,202.523,34,4,13
custom,custom_additional,custom_env,medium_1box,Medium,0,greedy,,True,,9,9,1,9.7,13,126.9715,8,1,13
custom,custom_additional,custom_env,medium_1box,Medium,0,astar,,True,,9,9,1,9.7,13,176.6088,34,4,13
custom,custom_additional,custom_env,medium_1box,Medium,0,bfs,,True,,9,9,1,9.7,13,211.1208,95,29,13
custom,custom_additional,custom_env,medium_1box,Medium,0,bfs,,True,,9,9,1,9.7,13,269.1619,95,29,13
custom,custom_additional,custom_env,medium_1box,Medium,0,bfs,,True,,9,9,1,9.7,13,7573.9887,95,29,13
custom,custom_additional,custom_env,medium_1box,Medium,0,greedy,,True,,9,9,1,9.7,13,7652.8914,8,1,13
custom,custom_additional,custom_env,medium_1box,Medium,0,astar,,True,,9,9,1,9.7,13,7709.1429,34,4,13
custom,custom_additional,custom_env,medium_1box,Medium,0,bfs,,True,,9,9,1,9.7,13,941.1094,95,29,13
custom,custom_additional,custom_env,medium_1box,Medium,0,greedy,,True,,9,9,1,9.7,13,807.1618,8,1,13
custom,custom_additional,custom_env,medium_1box,Medium,0,astar,,True,,9,9,1,9.7,13,559.3998,34,4,13
custom,custom_additional,custom_env,medium_1box,Medium,0,bfs,,True,,9,9,1,9.7,13,7376.5714,95,29,13
custom,custom_additional,custom_env,medium_1box,Medium,0,greedy,,True,,9,9,1,9.7,13,7143.1627,8,1,13
custom,custom_additional,custom_env,medium_1box,Medium,0,astar,,True,,9,9,1,9.7,13,7073.3061,34,4,13
