source,group,env_version,map_name,difficulty,episode,algorithm,seed,solved,failure_reason,height,width,num_boxes,total_reward,steps,runtime_ms,nodes_expanded,deadlocks_pruned,dead_squares
custom,custom_core,custom_env,map_02,Medium-1box,0,bfs,,True,,5,12,1,10.3,7,60.7941,8,16,22
custom,custom_core,custom_env,map_02,Medium-1box,0,greedy,,True,,5,12,1,10.3,7,68.0921,4,8,22
custom,custom_core,custom_env,map_02,Medium-1box,0,astar,,True,,5,12,1,10.3,7,150.1439,4,8,22
custom,custom_core,custom_env,map_02,Medium-1box,0,greedy,,True,,5,12,1,10.3,7,75.7523,4,8,22
custom,custom_core,custom_env,map_02,Medium-1box,0,greedy,,True,,5,12,1,10.3,7,89.2668,4,8,22
custom,custom_core,custom_env,map_02,Medium-1box,0,astar,,True,,5,12,1,10.3,7,89.8433,4,8,22
custom,custom_core,custom_env,map_02,Medium-1box,0,greedy,,True,,5,12,1,10.3,7,121.1004,4,8,22
custom,custom_core,custom_env,map_02,Medium-1box,0,bfs,,True,,5,12,1,10.3,7,105.2725,8,16,22
custom,custom_core,custom_env,map_02,Medium-1box,0,greedy,,True,,5,12,1,10.3,7,104.0511,4,8,22
custom,custom_core,custom_env,map_02,Medium-1box,0,astar,,True,,5,12,1,10.3,7,87.9281,4,8,22
custom,custom_core,custom_env,map_02,Medium-1box,0,greedy,,True,,5,12,1,10.3,7,110.4207,4,8,22
custom,custom_core,custom_env,map_02,Medium-1box,0,astar,,True,,5,12,1,10.3,7,53.7245,4,8,22
custom,custom_core,custom_env,map_02,Medium-1box,0,bfs,,True,,5,12,1,10.3,7,130.2917,8,16,22
custom,custom_core,custom_env,map_02,Medium-1box,0,bfs,,True,,5,12,1,10.3,7,53.581,8,16,22
custom,custom_core,custom_env,map_02,Medium-1box,0,bfs,,True,,5,12,1,10.3,7,4587.5216,8,16,22
custom,custom_core,custom_env,map_02,Medium-1box,0,greedy,,True,,5,12,1,10.3,7,3989.8729,4,8,22
custom,custom_core,custom_env,map_02,Medium-1box,0,astar,,True,,5,12,1,10.3,7,3962.9467,4,8,22
custom,custom_core,custom_env,map_02,Medium-1box,0,bfs,,True,,5,12,1,10.3,7,729.7001,8,16,22
custom,custom_core,custom_env,map_02,Medium-1box,0,greedy,,True,,5,12,1,10.3,7,420.557,4,8,22
custom,custom_core,custom_env,map_02,Medium-1box,0,astar,,True,,5,12,1,10.3,7,423.0423,4,8,22
custom,custom_core,custom_env,map_02,Medium-1box,0,bfs,,True,,5,12,1,10.3,7,3793.5162,8,16,22
custom,custom_core,custom_env,map_02,Medium-1box,0,greedy,,True,,5,12,1,10.3,7,3802.2497,4,8,22
custom,custom_core,custom_env,map_02,Medium-1box,0,astar,,True,,5,12,1,10.3,7,3801.1899,4,8,22
custom,custom_core,custom_env,map_02,Medium-1box,0,bfs,,True,,5,12,1,10.3,7,66.0768,8,16,22
custom,custom_core,custom_env,map_02,Medium-1box,0,greedy,,True,,5,12,1,10.3,7,78.7525,4,8,22
custom,custom_core,custom_env,map_02,Medium-1box,0,astar,,True,,5,12,1,10.3,7,75.5844,4,8,22
